author,publication_count
Jonathan S. Gootenberg,19
Mark Gerstein,19
Ming Chen,19
Jean C. Zenklusen,19
Andrew J.S. Coats,19
Min Zhou,19
Chen Yang,19
Ke Li,18
Heidi J. Larson,18
Yue Wu,18
Anna Sonia Petronio,18
Xiaodong Xu,18
Peter Van Loo,18
Pow‐Seng Yap,18
Charles M. Rudin,18
Brian A. Ference,18
Holger J. Schünemann,18
Iain B. McInnes,18
Eric Boerwinkle,18
M. Arène,18
Jiaya Jia,18
Yusuke Yamauchi,18
Rui Liu,18
Jun Zhao,18
Ki Hyeong Lee,18
Jingyuan Fu,18
Xuanhe Zhao,18
Jelena Čelutkienė,18
Vlado Perkovic,18
Vladlen Koltun,18
Zaiping Guo,18
Huan Pang,18
Barney S. Graham,18
Ryan M Barber,18
Shu Zhang,18
Ting Zhang,18
Eileen M. O’Reilly,18
Sheila M. Reynolds,18
Alize J Ferrari,18
Li Guo,18
Ping Luo,18
Matthew J. Page,18
Laxmi Lolla,18
Maziar Moradi‐Lakeh,18
Steven E. Nissen,18
Jiayi Ma,18
D. J. James,18
Zhiyuan Liu,18
Fang Chen,18
Zhuang Liu,18
Salim Yusuf,18
J. C. Batch,18
Akiko Iwasaki,18
Reisa A. Sperling,18
Syed Shujait Ali,18
Moritz Gerstung,18
Yohann Loriot,18
Liming Yang,18
Samuel D. Stranks,18
Zheng Li,18
Xinliang Feng,18
Pengfei Wang,18
Bo Yang,18
Zheng Chen,18
James J. Collins,18
Ye Wu,18
Donald M. Lloyd‐Jones,18
Levi A. Garraway,18
John V. Heymach,18
Theo Knijnenburg,18
Yong Xu,18
Hao Yang,18
Bingan Lu,18
Jerry P. Nolan,18
Wenbin Liu,18
Husam N. Alshareef,18
Ziwei Liu,18
Peter M. Visscher,18
T. Adams,18
Rakesh Aggarwal,18
Marcel Ausloos,18
Justin B. Echouffo‐Tcheugui,18
Oladimeji Adebayo,18
Dan Liu,18
Oscar H. Franco,18
Do‐Youn Oh,18
M. Bitossi,18
Maurizio Cecconi,18
Han Liang,18
Gregory J. Riely,18
Young‐Ho Khang,18
Julian P. T. Higgins,18
Kenneth Cusi,18
Michael Miller,18
Yousef Khader,18
Li Zhao,18
Sadiya S. Khan,18
Laurent Peyrin‐Biroulet,18
Hao Liu,18
Feng He,18
Marjan Ajami,18
P. Addesso,18
Jaffer A. Ajani,18
Robert Golub,18
Bing Liu,18
Omar O. Abudayyeh,18
Daniel Shu Wei Ting,18
Bohuslav Melichar,18
Lehana Thabane,18
Adam Abeshouse,18
Jure Leskovec,18
Álvaro Avezum,18
Thirumala‐Devi Kanneganti,18
Xiangnan He,18
Bradley M. Broom,18
Sally Hopewell,18
Wei Sun,18
Matteo S. Carlino,18
Shilong Piao,18
Ferrán Catalá-López,18
Xiao Liu,18
Nan Li,18
Jie Zheng,18
Carolyn M. Hutter,18
Yuanyuan Zhang,18
Wei Gu,18
Tommy Cederholm,18
Robert A. Gabbay,18
António Coca,18
Shuquan Liang,18
